銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff
,,,2025/01/29,09:30,1965.5 ,1967.5 ,1965.5 ,1966.5 ,120400,1965.39 ,1967.50 ,1965.39 ,1966.25 ,-1,1964.50 ,0.04 ,1968.19 ,2,-2.0 
,,,2025/01/29,09:31,1966.5 ,1968.5 ,1966.0 ,1968.5 ,133100,1965.82 ,1968.50 ,1965.82 ,1967.38 ,1,1965.82 ,0.02 ,1964.50 ,0,
,,,2025/01/29,09:32,1968.5 ,1970.5 ,1968.5 ,1969.5 ,289700,1966.60 ,1970.50 ,1966.60 ,1969.25 ,1,1970.50 ,0.04 ,1964.74 ,1,1.0 
,,,2025/01/29,09:33,1969.5 ,1970.5 ,1969.0 ,1969.5 ,220000,1967.92 ,1970.50 ,1967.92 ,1969.63 ,1,1970.50 ,0.04 ,1964.97 ,2,1.0 
,,,2025/01/29,09:34,1969.5 ,1969.5 ,1967.5 ,1968.0 ,169600,1968.77 ,1969.50 ,1967.50 ,1968.63 ,1,1970.50 ,0.04 ,1965.19 ,3,-0.5 
,,,2025/01/29,09:35,1968.0 ,1970.0 ,1967.5 ,1969.5 ,163100,1968.70 ,1970.00 ,1967.50 ,1968.75 ,1,1970.50 ,0.04 ,1965.40 ,4,1.0 
,,,2025/01/29,09:36,1969.5 ,1970.0 ,1968.0 ,1969.5 ,148100,1968.72 ,1970.00 ,1968.00 ,1969.25 ,1,1970.50 ,0.04 ,1965.61 ,5,1.0 
,,,2025/01/29,09:37,1969.0 ,1970.0 ,1968.5 ,1970.0 ,104300,1968.99 ,1970.00 ,1968.50 ,1969.38 ,1,1970.50 ,0.04 ,1965.80 ,6,1.5 
,,,2025/01/29,09:38,1969.5 ,1970.5 ,1969.0 ,1970.0 ,183100,1969.18 ,1970.50 ,1969.00 ,1969.75 ,1,1970.50 ,0.04 ,1965.99 ,7,1.5 
,,,2025/01/29,09:39,1969.5 ,1972.0 ,1969.5 ,1971.5 ,262200,1969.47 ,1972.00 ,1969.47 ,1970.63 ,1,1972.00 ,0.06 ,1966.35 ,8,3.0 
,,,2025/01/29,09:40,1971.0 ,1973.0 ,1969.5 ,1973.0 ,321600,1970.05 ,1973.00 ,1969.50 ,1971.63 ,1,1973.00 ,0.08 ,1966.88 ,9,4.5 
,,,2025/01/29,09:41,1973.0 ,1973.5 ,1972.0 ,1972.0 ,194100,1970.84 ,1973.50 ,1970.84 ,1972.63 ,1,1973.50 ,0.10 ,1967.55 ,10,3.5 
,,,2025/01/29,09:42,1972.0 ,1973.5 ,1972.0 ,1972.5 ,126300,1971.73 ,1973.50 ,1971.73 ,1972.50 ,1,1973.50 ,0.10 ,1968.14 ,11,4.0 
,,,2025/01/29,09:43,1972.5 ,1972.5 ,1970.5 ,1971.0 ,101000,1972.12 ,1972.50 ,1970.50 ,1971.63 ,1,1973.50 ,0.10 ,1968.68 ,12,2.5 
,,,2025/01/29,09:44,1970.5 ,1971.0 ,1970.0 ,1970.5 ,108500,1971.87 ,1971.87 ,1970.00 ,1970.50 ,1,1973.50 ,0.10 ,1969.16 ,13,2.0 
,,,2025/01/29,09:45,1970.5 ,1971.0 ,1967.5 ,1967.5 ,240200,1971.19 ,1971.19 ,1967.50 ,1969.13 ,-1,1971.19 ,0.02 ,1973.50 ,0,
,,,2025/01/29,09:46,1967.5 ,1968.0 ,1966.0 ,1966.0 ,144500,1970.16 ,1970.16 ,1966.00 ,1966.88 ,-1,1966.00 ,0.04 ,1973.20 ,1,1.5 
,,,2025/01/29,09:47,1966.0 ,1967.0 ,1965.0 ,1966.5 ,225300,1968.52 ,1968.52 ,1965.00 ,1966.13 ,-1,1965.00 ,0.06 ,1972.71 ,2,1.0 
,,,2025/01/29,09:48,1966.5 ,1968.0 ,1966.0 ,1967.0 ,98600,1967.32 ,1968.00 ,1966.00 ,1966.88 ,-1,1965.00 ,0.06 ,1972.25 ,3,0.5 
,,,2025/01/29,09:49,1967.5 ,1969.0 ,1967.0 ,1969.0 ,115300,1967.10 ,1969.00 ,1967.00 ,1968.13 ,-1,1965.00 ,0.06 ,1971.81 ,4,-1.5 
,,,2025/01/29,09:50,1969.0 ,1969.0 ,1967.5 ,1968.0 ,70200,1967.61 ,1969.00 ,1967.50 ,1968.38 ,-1,1965.00 ,0.06 ,1971.40 ,5,-0.5 
,,,2025/01/29,09:51,1968.5 ,1968.5 ,1967.0 ,1967.5 ,87300,1967.99 ,1968.50 ,1967.00 ,1967.88 ,-1,1965.00 ,0.06 ,1971.02 ,6,0.0 
,,,2025/01/29,09:52,1967.5 ,1967.5 ,1966.5 ,1967.0 ,116000,1967.93 ,1967.93 ,1966.50 ,1967.13 ,-1,1965.00 ,0.06 ,1970.66 ,7,0.5 
,,,2025/01/29,09:53,1967.0 ,1967.5 ,1966.5 ,1967.5 ,28600,1967.53 ,1967.53 ,1966.50 ,1967.13 ,-1,1965.00 ,0.06 ,1970.32 ,8,0.0 
,,,2025/01/29,09:54,1967.5 ,1967.5 ,1966.5 ,1966.5 ,121800,1967.33 ,1967.50 ,1966.50 ,1967.00 ,-1,1965.00 ,0.06 ,1970.00 ,9,1.0 
,,,2025/01/29,09:55,1966.5 ,1967.5 ,1966.0 ,1967.5 ,90300,1967.16 ,1967.50 ,1966.00 ,1966.88 ,-1,1965.00 ,0.06 ,1969.70 ,10,0.0 
,,,2025/01/29,09:56,1967.5 ,1968.0 ,1966.5 ,1967.0 ,52300,1967.02 ,1968.00 ,1966.50 ,1967.25 ,-1,1965.00 ,0.06 ,1969.42 ,11,0.5 
