時刻,株価
15:01:12,1834.0 
15:01:13,1834.0 
15:01:15,1834.5 
15:01:17,1834.5 
15:01:22,1834.5 
15:01:23,1834.5 
15:01:25,1834.5 
15:01:28,1835.0 
15:01:30,1835.5 
15:01:33,1835.0 
15:01:34,1835.5 
15:01:36,1835.0 
15:01:38,1835.0 
15:01:40,1834.5 
15:01:47,1835.0 
15:01:55,1834.5 
15:01:56,1834.5 
15:01:58,1834.5 
15:02:00,1834.5 
15:02:02,1834.5 
15:02:03,1834.5 
15:02:06,1834.5 
15:02:07,1834.0 
15:02:09,1834.5 
15:02:12,1834.0 
15:02:17,1834.0 
15:02:20,1834.0 
15:02:22,1833.5 
15:02:23,1833.5 
15:02:25,1833.5 
15:02:27,1834.0 
15:02:29,1833.5 
15:02:36,1833.5 
15:02:38,1833.5 
15:02:40,1833.5 
15:02:42,1833.0 
15:02:45,1833.0 
15:02:48,1833.0 
15:02:50,1833.0 
15:02:52,1833.0 
15:02:54,1833.0 
15:02:56,1833.0 
15:02:58,1833.0 
15:03:00,1833.0 
15:03:01,1833.5 
15:03:03,1833.0 
15:03:06,1833.0 
15:03:09,1833.0 
15:03:10,1833.0 
15:03:11,1833.0 
15:03:12,1833.0 
15:03:16,1832.5 
15:03:19,1832.5 
15:03:21,1832.0 
15:03:23,1832.5 
15:03:25,1832.5 
15:03:28,1832.5 
15:03:30,1832.5 
15:03:32,1832.5 
15:03:37,1832.0 
15:03:39,1832.0 
